Initial status,Total number of nurses,Conversion,year,Number of cases,Total number of cases,Paper
TST-,362,TST- to TB,1,7,40,Paper #1
TST-,362,TST- to TB,2,15,40,Paper #1
TST-,362,TST- to TB,3,9,40,Paper #1
TST-,362,TST- to TB,4,5,40,Paper #1
TST-,362,TST- to TB,5,0,40,Paper #1
TST-,362,TST- to TB,6,1,40,Paper #1
TST-,362,TST- to TB,7,2,40,Paper #1
TST-,362,TST- to TB,8,0,40,Paper #1
TST-,362,TST- to TB,9,0,40,Paper #1
TST-,362,TST- to TB,10,0,40,Paper #1
TST-,362,TST- to TB,11,0,40,Paper #1
TST-,362,TST- to TB,12,0,40,Paper #1
TST-,362,TST- to TB,13,0,40,Paper #1
TST-,362,TST- to TB,14,1,40,Paper #1
TST-,362,TST- to TB,15,0,40,Paper #1
TST+,374,TST+ to TB,1,5,31,Paper #1
TST+,374,TST+ to TB,2,5,31,Paper #1
TST+,374,TST+ to TB,3,9,31,Paper #1
TST+,374,TST+ to TB,4,2,31,Paper #1
TST+,374,TST+ to TB,5,1,31,Paper #1
TST+,374,TST+ to TB,6,3,31,Paper #1
TST+,374,TST+ to TB,7,2,31,Paper #1
TST+,374,TST+ to TB,8,2,31,Paper #1
TST+,374,TST+ to TB,9,2,31,Paper #1
TST+,374,TST+ to TB,10,0,31,Paper #1
TST+,374,TST+ to TB,11,0,31,Paper #1
TST+,374,TST+ to TB,12,0,31,Paper #1
TST+,374,TST+ to TB,13,0,31,Paper #1
TST+,374,TST+ to TB,14,0,31,Paper #1
TST+,374,TST+ to TB,15,0,31,Paper #1
TST-,362,TST- to TST+,1,28,40,Paper #1
TST-,362,TST- to TST+,2,8,40,Paper #1
TST-,362,TST- to TST+,3,1,40,Paper #1
TST-,362,TST- to TST+,4,1,40,Paper #1
TST-,362,TST- to TST+,5,1,40,Paper #1
TST-,362,TST- to TST+,6,0,40,Paper #1
TST-,362,TST- to TST+,7,0,40,Paper #1
TST-,362,TST- to TST+,8,0,40,Paper #1
TST-,362,TST- to TST+,9,0,40,Paper #1
TST-,362,TST- to TST+,10,0,40,Paper #1
TST-,362,TST- to TST+,11,1,40,Paper #1
TST-,362,TST- to TST+,12,0,40,Paper #1
TST-,362,TST- to TST+,13,0,40,Paper #1
TST-,362,TST- to TST+,14,0,40,Paper #1
TST-,362,TST- to TST+,15,0,40,Paper #1
TST-,362,TST+ to TB,1,26,40,Paper #1
TST-,362,TST+ to TB,2,7,40,Paper #1
TST-,362,TST+ to TB,3,1,40,Paper #1
TST-,362,TST+ to TB,4,1,40,Paper #1
TST-,362,TST+ to TB,5,1,40,Paper #1
TST-,362,TST+ to TB,6,2,40,Paper #1
TST-,362,TST+ to TB,7,1,40,Paper #1
TST-,362,TST+ to TB,8,0,40,Paper #1
TST-,362,TST+ to TB,9,0,40,Paper #1
TST-,362,TST+ to TB,10,0,40,Paper #1
TST-,362,TST+ to TB,11,1,40,Paper #1
TST-,362,TST+ to TB,12,0,40,Paper #1
TST-,362,TST+ to TB,13,0,40,Paper #1
TST-,362,TST+ to TB,14,0,40,Paper #1
TST-,362,TST+ to TB,15,0,40,Paper #1
